ID,Name,stageMaxVal0,stageMaxVal1,stageMaxVal2,stageMaxVal3,stageMaxVal4,stageMaxGrowVal0,stageMaxGrowVal1,stageMaxGrowVal2,stageMaxGrowVal3,stageMaxGrowVal4,adjPt_maxGrowVal0,adjPt_maxGrowVal1,adjPt_maxGrowVal2,adjPt_maxGrowVal3,adjPt_maxGrowVal4,init_inclination_soul,adjustment_value,boundry_inclination_soul,boundry_value,pad,
0,0: None -- 0:なし,0,99,99,99,99,0,0,0,0,0,1,1,1,1,1,0,0,0,0,[0|0|0|0]
1,1: Hard stone -- 1:硬石,1,16,40,60,99,0,35,75,85,100,1.2,-1.2,1,1.5,1,0,0,0,0,[0|0|0|0]
2,2: Sharp stone -- 2:鋭石,1,16,40,60,99,0,30,75,85,100,1.2,-1.2,1,1.5,1,0,0,0,0,[0|0|0|0]
3,3: Minagi stone -- 3:みなぎ石,1,20,30,50,99,0,30,62,82,100,1,1,1,1,1,0,0,0,0,[0|0|0|0]
4,4: Nibi stone -- 4:にび石,1,20,30,50,99,0,45,80,90,100,1,1,1,1,1,0,0,0,0,[0|0|0|0]
5,5: Blade stone -- 5:刃石,1,30,40,60,99,0,28,60,90,100,1,1,1,1,1,0,0,0,0,[0|0|0|0]
6,6: Spider thread steel wire -- 6:蜘蛛糸鋼線,1,25,45,60,99,0,10,55,90,100,1,1,1,1,1,0,0,0,0,[0|0|0|0]
7,7: Mercury stone -- 7:水銀石,1,15,30,50,99,0,25,70,90,100,1,1,1,1,1,0,0,0,0,[0|0|0|0]
8,8: Dragon stone -- 8:竜石,1,16,40,60,99,0,25,70,85,100,1.2,-1.2,1,1.5,1,0,0,0,0,[0|0|0|0]
9,9: Sucking stone -- 9:吸いつき石,1,10,40,60,99,25,45,75,85,100,1.2,-1.2,1,1.5,1,0,0,0,0,[0|0|0|0]
10,10: Pith stone -- 10:髄石,1,15,30,50,99,0,10,50,60,70,1,1,1,1,1,0,0,0,0,[0|0|0|0]
11,11: Moonlight stone -- 11:月光石,1,25,30,45,99,0,0,40,90,100,1,1,1,1,1,0,0,0,0,[0|0|0|0]
12,12: Moonlight stone -- 12:月影石,1,15,30,45,99,0,10,55,75,100,1,1,1,1,1,0,0,0,0,[0|0|0|0]
13,13: Faint stone -- 13:微光石,1,25,30,50,99,0,0,40,90,100,1,1,1,1,1,0,0,0,0,[0|0|0|0]
